,Type,rxn_smiles
129,Diels-Alder,C=C(C=CC#N)SC.O=C1C=CC(=O)c2c(O)cccc21>>CSC1=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]2C1
130,Diels-Alder,CC=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>C[C@H]1C=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
131,Diels-Alder,N#CC=CC=CF.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@@H]1C=C[C@H](F)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
132,Diels-Alder,COC=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>CO[C@H]1C=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
133,Diels-Alder,N#CC=CC=CO.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@@H]1C=C[C@H](O)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
134,Diels-Alder,N#CC=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@@H]1C=C[C@H](C#N)[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@@H]21
135,Diels-Alder,COC(=O)C=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@H]1C=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
136,Diels-Alder,CC(=O)OC=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>CC(=O)O[C@H]1C=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
137,Diels-Alder,CNC=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>CN[C@H]1C=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
138,Diels-Alder,CSC=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>CS[C@H]1C=C[C@@H](C#N)[C@H]2C(=O)c3c(O)cccc3C(=O)[C@H]21
139,Diels-Alder,C=CC=CC#N.O=C1C=CC(=O)c2c(O)cccc21>>N#C[C@@H]1C=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
140,Diels-Alder,C=CC(C)=CC(=O)OC.O=C1C=CC(=O)c2c(O)cccc21>>COC(=O)[C@@H]1C(C)=CC[C@@H]2C(=O)c3cccc(O)c3C(=O)[C@H]12
